key,device,d_lambda,radio,symmetry,parameters_fitted_to,nominal_mean_row_tv,nominal_mean_row_js_nats,nominal_flattened_corr,cal_mean_row_tv,cal_mean_row_js_nats,cal_flattened_corr,cal_map_bin_agreement,nonempty_phi_rows
SDRDEVICE.BLADERF2_0.49314,BLADERF2,0.49314,r0,sym,r/nosym,0.2887991683,0.07598101973,0.6882964886,0.2749064064,0.06591961196,0.7262154761,0.1384615385,65
SDRDEVICE.BLADERF2_0.49314,BLADERF2,0.49314,r1,nosym,r/nosym,0.6965306386,0.3516655408,0.2046351524,0.4168133454,0.1508247528,0.6410700172,0.1230769231,65
SDRDEVICE.BLADERF2_0.49314,BLADERF2,0.49314,r1,sym,r/nosym,0.4135159456,0.13481112,0.360918167,0.2868888005,0.0703591036,0.639975805,0.1846153846,65
SDRDEVICE.BLADERF2_0.51369,BLADERF2,0.51369,r,nosym,r/nosym,0.5633488184,0.2475418233,0.3765346054,0.2561816571,0.06508554123,0.8239090205,0.1692307692,65
SDRDEVICE.BLADERF2_0.51369,BLADERF2,0.51369,r,sym,r/nosym,0.26900291,0.06141647604,0.690908429,0.1888299989,0.03096563981,0.8610946252,0.1692307692,65
SDRDEVICE.BLADERF2_0.51369,BLADERF2,0.51369,r0,nosym,r/nosym,0.5926842737,0.2783079226,0.3754718076,0.3798375901,0.1359820349,0.6947143634,0.1230769231,65
SDRDEVICE.BLADERF2_0.51369,BLADERF2,0.51369,r0,sym,r/nosym,0.2816469607,0.06862848528,0.7208487612,0.2523425129,0.06106275361,0.7622651452,0.07692307692,65
SDRDEVICE.BLADERF2_0.51369,BLADERF2,0.51369,r1,nosym,r/nosym,0.6732326096,0.3333242867,0.2646605874,0.3674888264,0.1279639924,0.7041763658,0.1230769231,65
SDRDEVICE.BLADERF2_0.51369,BLADERF2,0.51369,r1,sym,r/nosym,0.3675318623,0.1121336235,0.5188249097,0.2582770252,0.05526323567,0.7747250514,0.1230769231,65
SDRDEVICE.BLADERF2_0.53424,BLADERF2,0.53424,r,nosym,r/nosym,0.5585952872,0.2436618447,0.3788363161,0.2319273732,0.04873626841,0.8714559428,0.1692307692,65
SDRDEVICE.BLADERF2_0.53424,BLADERF2,0.53424,r,sym,r/nosym,0.272059075,0.06030763231,0.6703639546,0.1577647659,0.02419689451,0.8953587082,0.2,65
